id,word,definition,forms,example,uses,img_prompt
1,achieve,To successfully do something after trying very hard.,"achievement, achievable",She studied hard to achieve her goal of getting good grades.,"achieve a goal, achieve success, achieve a result","A person reaching the top of a mountain, holding a flag."
2,acquire,"To get or gain something, usually by buying it or working for it.","acquires, acquired, acquiring, acquisition",She acquired a new car last week.,"acquire knowledge, acquire skills, acquire property","A person receiving a diploma after graduating, symbolizing the acquisition of knowledge."
3,adjust,To change something a little so that it is better or more suitable.,"adjustment, adjustable",Please adjust the volume of the music; it's too loud.,"adjust to, adjust settings, adjust expectations",A hand turning a knob to adjust the brightness of a light.
4,adopt,"To legally take a child into your family and raise them as your own. It can also mean to start using a new method, idea, or way of doing something.","adoption, adopted, adopting",They decided to adopt a child after many years of trying to have their own. The company decided to adopt a new marketing strategy.,"adopt a child, adopt a policy, adopt a strategy, adopt an approach",A happy family hugging their newly adopted child.
5,advance,To move forward or make progress.,"advanced, advancing, advancement",The army will advance towards the city.,"advance warning, advance payment, technological advance",A chess pawn moving forward one square on a chessboard.
6,advise,To give someone suggestions about what they should do.,"advises, advised, advising, advice (noun), advisor (noun)",My parents advise me to study hard for the exams.,"advise someone to do something, advise on, seek advise, legal advise",A person giving advice to another person who looks thoughtful.
7,affect,"To have an influence on someone or something, or to cause a change in them.","affected, affecting, affects",The weather can affect your mood.,"affect health, affect decision, affect performance","A thermometer showing a fever, visually linking sickness affecting a person."
8,appreciate,To be thankful for something or to recognize its good qualities.,"appreciates, appreciated, appreciating, appreciation",I appreciate your help with my homework.,"appreciate someone, appreciate something, greatly appreciate, truly appreciate",A person handing a thank you card to another person with a smile.
9,approach,To move closer to someone or something. It also means a way of dealing with something.,"approached, approaching",The cat slowly approached the bird. / Our approach to solving the problem was different.,"approach a problem, approach a deadline, a new approach","A person walking on a path towards a large, welcoming house with a clear 'Welcome' sign on the door."
10,argue,"To disagree with someone in words, often in an angry way.","arguing, argued, argument","My parents often argue about money, but they still love each other.","argue with, argue about, argue for, strongly argue","Two people standing face to face, pointing fingers and looking angry at each other."
11,arrange,To put things in a certain order or position.,"arrangement, arranging, arranged",Please arrange the books on the shelf alphabetically.,"arrange a meeting, arrange flowers, arrange furniture",A person carefully arranging colorful flowers in a vase on a table.
12,assess,To carefully consider something in order to make a judgment about it.,"assessment, assessed, assessing",The teacher will assess our progress with a test.,"assess damage, assess risk, assess needs","A person carefully examining a document with a magnifying glass, with a checklist and pen nearby."
13,assume,To believe something is true without having proof.,"assumed, assuming, assumption","I assume he's coming, since he said he would be here.","assume responsibility, assume a role, safely assume","A person with a question mark above their head, pondering and making an educated guess."
14,assure,"To tell someone that something is definitely true or will happen, so they don't worry.","assured, assuring, assurance","I assure you, everything will be alright.","assure someone, assure safety, assure success","A person patting another person's shoulder reassuringly, with a calm and supportive expression."
15,attach,To connect or join something to something else.,"attachment, attached, attaching",Please attach the file to the email before sending it.,"attach a file, attach importance, attach to",A paperclip attaching two sheets of paper together.
16,attempt,To try to do something difficult.,"attempted, attempting, attempts",I will attempt to climb the mountain.,"attempt to do, attempt at, failed attempt",A person reaching for a star in the night sky.
17,attend,To be present at an event or place.,"attendance, attendant",I will attend the meeting tomorrow.,"attend a meeting, attend school, attend church","A person sitting in a chair in a meeting room, actively listening and taking notes."
18,attract,To make someone or something interested in you or something.,"attraction, attractive, attracted",The bright colors of the flowers attract bees.,"attract attention, attract tourists, attract investment",A large magnet pulling smaller metal objects towards it.
19,avoid,To stay away from someone or something; to try not to do something.,"avoidance, avoidable",I try to avoid eating too much sugar.,"avoid eye contact, avoid a problem, avoid responsibility",A person walking on a sidewalk detouring around a large puddle.
20,behave,"To act in a specific way. It describes how someone acts, especially in front of others.","behavior, behaving, behaved",The children behaved very well during the school trip.,"behave well, behave badly, behave yourself","A group of children sitting quietly and attentively in a classroom, listening to their teacher."
21,benefit,A good or helpful result or effect.,"beneficial, beneficiary",One benefit of exercise is that it makes you feel healthier.,"health benefits, employee benefits, benefit from, to one's benefit","A person smiling and holding a trophy with a plus sign on it, symbolizing a positive outcome."
22,calculate,"To find an answer using math. It's like adding, subtracting, multiplying, or dividing numbers to get a result.","calculation, calculating, calculated",The student had to calculate the total cost of the items.,"calculate the cost, calculate the risk, calculate the average","A person using a calculator to solve a math problem, with numbers and symbols floating around."
23,capture,"To catch someone or something, or to record something like a photo or video.","captures, captured, capturing",The photographer tried to capture the beauty of the sunset.,"capture a moment, capture an image, capture attention","A photographer holding a camera, focusing on a bird perched on a branch."
24,cause,The reason why something happens.,"causes, caused, causing",The heavy rain was the cause of the flood.,"cause of death, cause concern, major cause","A domino effect, where one falling domino causes the next to fall in a chain."
25,reconcile,To find a way for two people or groups to become friendly again after a disagreement.,reconciliation,"After years of not speaking, the siblings decided to reconcile and rebuild their relationship.","reconcile differences, reconcile with someone, reconcile accounts","Two hands reaching out to each other across a gap, symbolizing the act of reconciliation."
26,combine,To put two or more things together to make one thing.,"combination, combining",We can combine the flour and sugar to make a cake.,"combine efforts, combine forces, combine ingredients",Two puzzle pieces fitting together to form a complete picture.
27,communicate,"To share information, ideas, or feelings with someone else by speaking, writing, or using other methods.","communication, communicator",We communicate with each other by email.,"communicate effectively, communicate clearly, communicate directly","Two people talking to each other face-to-face, with speech bubbles showing words being exchanged."
28,compare,To look at two or more things and see how they are similar or different.,"compares, comparing, compared, comparison, comparable",We need to compare the prices of these two phones before we decide which one to buy.,"compare to, compare with, compare and contrast, beyond compare","Two apples, one red and one green, side by side, with a magnifying glass hovering over them, suggesting a close examination of their differences."
29,compete,To try to win or be better than someone else.,"competition, competitor, competitive",Many athletes compete in the Olympics.,"compete against, compete for, compete in","Two runners racing neck and neck towards a finish line, both determined and focused."
30,complain,To say that you are unhappy or not satisfied with something.,"complains, complained, complaining, complaint",He complained about the loud music.,"complain bitterly, complain loudly, complain constantly","A person with a frustrated expression, pointing at a broken appliance."
31,compromise,"When people compromise, they agree to accept something that is not exactly what they want, because it helps them reach an agreement.","compromised, compromising","After a long discussion, they reached a compromise that satisfied everyone.","reach a compromise, find a compromise, compromise solution","Two hands shaking, each hand is coming from opposite sides of a seesaw, which is balanced in the middle."
32,concentrate,To give all your attention to something and not think about anything else.,"concentration, concentrated, concentrating",I need to concentrate on my studies to pass the exam.,"concentrate on, concentrate efforts, concentrate mind","A student sitting at a desk, intensely focused on a book, with light shining directly on the book and their face."
33,conduct,"To organize and do something, like an activity or experiment.","conducting, conducted",The scientists will conduct an experiment to test their hypothesis.,"conduct research, conduct a survey, conduct an interview",A person in a lab coat overseeing a scientific experiment with beakers and test tubes.
34,confirm,To make sure something is true or correct. It's like saying 'yes' to a fact or plan.,"confirmation, confirmed, confirming",Please confirm your email address by clicking the link we sent you.,"confirm a booking, confirm a meeting, confirm details","A person checking a box on a form with a pen, indicating confirmation."
35,connect,To join or link things together.,"connected, connecting, connection",I need to connect the printer to my computer.,"connect to the internet, connect with someone, connect two things","Two puzzle pieces fitting perfectly together, illustrating the idea of joining or linking."
36,consider,"To think about something carefully, especially before making a decision.","consideration, considering",We need to consider all the options before choosing.,"consider carefully, consider a possibility, consider someone's opinion","A person sitting at a desk, looking thoughtful with a pen in hand, surrounded by papers with different options listed."
37,consist,To be made up of something; to have something as parts or members.,"consisting, consisted","The cake consists of flour, sugar, and eggs.","consist of, mainly consist, largely consist","A pie chart showing different ingredients making up a cake, each ingredient labeled clearly."
38,contain,To have something inside.,"contains, containing, contained",This box contains books.,"contain information, contain a liquid, contain costs","A cardboard box filled with various colorful items, slightly overflowing."
39,contribute,"To give something, such as money, help, or ideas, to a group or cause.","contribution, contributor",I want to contribute to the school's fundraising event by baking cookies.,"contribute to, contribute time, contribute money, contribute ideas","A diverse group of people adding different items (money, food, tools) to a large donation box."
40,control,To have the power to direct or manage something. It means you can decide what happens.,"controlled, controlling, controller",She uses a remote to control the TV.,"control group, control panel, under control, lose control","A hand firmly holding the reins of a horse, guiding its direction."
41,convert,To change something into a different form or to use it for a different purpose.,conversion,You can convert your old bedroom into a home office.,"convert into, convert to, convert energy",An image showing a lightbulb transforming into a solar panel.
42,convince,To make someone believe that something is true or to persuade them to do something.,"convinced, convincing","He tried to convince me to go to the party, but I was too tired.","convince someone of something, hard to convince, try to convince","A person speaking passionately while gesturing with their hands, trying to persuade another person who looks thoughtful and is considering their words."
43,cooperate,To work together with someone to achieve a common goal.,"cooperation, cooperative, cooperatively",The students cooperate to complete the group project.,"cooperate with, cooperate fully, willing to cooperate",Two people shaking hands after successfully assembling a puzzle together.
44,correspond,To be similar or analogous; to be in agreement or conformity.,"correspondence, corresponding",The two halves of the document correspond perfectly.,"correspond with, correspond to, directly correspond","Two puzzle pieces fitting together perfectly, illustrating agreement or matching."
45,garment,A garment is an item of clothing.,garments,She wore a beautiful garment to the party.,"protective garment, outer garment, article of garment","A neatly folded, classic blue denim jacket on a white shelf."
46,criticize,To say what you think is bad about something or someone.,"critic, critical, criticism","My parents always criticize my choices, but I think they are good.","criticize harshly, constructive criticism, openly criticize",A person pointing their finger at a piece of artwork with a disapproving look on their face.
47,deal,"An agreement or arrangement, especially in business. It can also mean to handle or manage something.","deals, dealing, dealt",They made a deal to buy the company. She is good at dealing with difficult customers.,"make a deal, a good deal, deal with a problem",Two business people shaking hands over a signed contract on a table.
